2025-09-22 13:23:25,275 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:25,502 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:25,527 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 58393)
2025-09-22 13:23:25,596 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 61421)
2025-09-22 13:23:25,921 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:23:26,075 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 52428)
2025-09-22 13:23:26,765 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 49544)
2025-09-22 13:23:27,009 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 60020)
2025-09-22 13:23:27,233 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 56033)
2025-09-22 13:23:27,312 | INFO | basehttp | log_message | 212 | "GET /api/public-tree/ HTTP/1.1" 200 11723
2025-09-22 13:23:36,794 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:36,998 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:37,046 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 56287)
2025-09-22 13:23:37,255 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:37,578 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:37,587 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 59598)
2025-09-22 13:23:37,962 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:23:37,975 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 60013)
2025-09-22 13:23:38,279 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:38,496 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:38,760 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:38,769 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 56099)
2025-09-22 13:23:38,956 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 58881)
2025-09-22 13:23:39,103 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:23:39,393 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:39,495 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 63746)
2025-09-22 13:23:39,604 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:39,809 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 51940)
2025-09-22 13:23:39,876 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:40,115 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 51750)
2025-09-22 13:23:40,289 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 49336)
2025-09-22 13:23:40,349 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:23:40,654 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:40,917 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:41,072 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 58951)
2025-09-22 13:23:41,189 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 55556)
2025-09-22 13:23:41,320 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:41,484 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 51241)
2025-09-22 13:23:41,693 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:23:42,012 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:42,255 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:42,545 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 61971)
2025-09-22 13:23:42,621 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 63461)
2025-09-22 13:23:42,736 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 51310)
2025-09-22 13:23:42,853 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:23:42,875 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 51715)
2025-09-22 13:23:42,899 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:43,042 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 58523)
2025-09-22 13:23:43,217 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 61252)
2025-09-22 13:23:43,365 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:23:43,548 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:43,819 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:43,937 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:44,077 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 54679)
2025-09-22 13:23:44,207 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 51499)
2025-09-22 13:23:44,391 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 59939)
2025-09-22 13:23:44,498 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:23:44,579 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:44,989 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 64501)
2025-09-22 13:23:45,147 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:23:45,192 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:45,516 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 63238)
2025-09-22 13:23:45,573 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 54894)
2025-09-22 13:23:45,633 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 53185)
2025-09-22 13:23:45,731 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:45,817 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 62332)
2025-09-22 13:23:45,884 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 61337)
2025-09-22 13:23:45,923 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:46,111 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:46,372 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 60822)
2025-09-22 13:23:46,634 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 52411)
2025-09-22 13:23:46,714 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:23:47,407 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 62071)
2025-09-22 13:23:47,614 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 49250)
2025-09-22 13:23:47,924 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 52567)
2025-09-22 13:23:48,420 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 54869)
2025-09-22 13:23:48,856 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 49516)
2025-09-22 13:23:49,233 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 49321)
2025-09-22 13:23:49,735 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 49712)
2025-09-22 13:23:50,031 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 64451)
2025-09-22 13:23:50,251 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 62050)
2025-09-22 13:23:50,332 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 65313)
2025-09-22 13:23:50,681 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 53503)
2025-09-22 13:23:50,708 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 62058)
2025-09-22 13:23:50,733 | INFO | basehttp | log_message | 212 | "GET /api/public-tree/ HTTP/1.1" 200 11723
2025-09-22 13:23:51,331 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 62510)
2025-09-22 13:23:51,431 | INFO | basehttp | log_message | 212 | "GET /static/img/favicon-32x32.png HTTP/1.1" 200 1978
2025-09-22 13:24:08,392 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:08,598 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:08,754 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:08,944 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:08,979 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 64628)
2025-09-22 13:24:09,287 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:24:09,731 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 55470)
2025-09-22 13:24:09,943 | INFO | basehttp | log_message | 212 | "GET /api/public-tree/ HTTP/1.1" 200 11723
2025-09-22 13:24:17,994 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:18,078 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:18,270 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:18,497 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:24:18,874 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:19,010 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 58907)
2025-09-22 13:24:19,079 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:24:19,083 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:19,296 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:19,564 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:24:19,791 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 50472)
2025-09-22 13:24:19,924 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:20,176 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:24:20,314 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 60116)
2025-09-22 13:24:20,487 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:20,737 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:24:20,933 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 58865)
2025-09-22 13:24:21,018 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:21,269 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:24:21,465 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:21,666 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 51394)
2025-09-22 13:24:21,737 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:24:21,902 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:22,389 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:24:22,395 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 49214)
2025-09-22 13:24:22,411 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:22,557 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:22,725 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:22,897 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 53905)
2025-09-22 13:24:22,939 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:23,079 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 59576)
2025-09-22 13:24:23,273 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:24:23,485 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:23,747 | WARNING | log | log_response | 241 | Too Many Requests: /api/admin/stats/
2025-09-22 13:24:23,763 | WARNING | log | log_response | 241 | Too Many Requests: /api/public-tree/
2025-09-22 13:24:23,767 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 55496)
2025-09-22 13:24:23,776 | WARNING | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 429 71
2025-09-22 13:24:23,796 | WARNING | basehttp | log_message | 212 | "GET /api/public-tree/ HTTP/1.1" 429 71
2025-09-22 13:24:24,099 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:24,314 | WARNING | log | log_response | 241 | Too Many Requests: /api/admin/stats/
2025-09-22 13:24:24,320 | WARNING | log | log_response | 241 | Too Many Requests: /api/public-tree/
2025-09-22 13:24:24,330 | WARNING | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 429 71
2025-09-22 13:24:24,344 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 62765)
2025-09-22 13:24:24,347 | WARNING | basehttp | log_message | 212 | "GET /api/public-tree/ HTTP/1.1" 429 71
2025-09-22 13:24:24,379 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:24,569 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:24,796 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:24,907 | WARNING | log | log_response | 241 | Too Many Requests: /api/public-tree/
2025-09-22 13:24:24,913 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 61996)
2025-09-22 13:24:24,920 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 51962)
2025-09-22 13:24:24,958 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:24,998 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 50599)
2025-09-22 13:24:25,143 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:25,334 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:25,556 | WARNING | log | log_response | 241 | Too Many Requests: /api/public-tree/
2025-09-22 13:24:25,558 | WARNING | log | log_response | 241 | Too Many Requests: /api/admin/stats/
2025-09-22 13:24:25,560 | WARNING | basehttp | log_message | 212 | "GET /api/public-tree/ HTTP/1.1" 429 71
2025-09-22 13:24:25,562 | WARNING | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 429 71
2025-09-22 13:24:48,986 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:49,204 | WARNING | log | log_response | 241 | Too Many Requests: /api/public-tree/
2025-09-22 13:24:49,207 | WARNING | basehttp | log_message | 212 | "GET /api/public-tree/ HTTP/1.1" 429 71
2025-09-22 13:24:49,210 | WARNING | log | log_response | 241 | Too Many Requests: /api/admin/stats/
2025-09-22 13:24:49,213 | WARNING | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 429 71
2025-09-22 13:24:49,433 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:24:49,593 | WARNING | log | log_response | 241 | Too Many Requests: /api/public-tree/
2025-09-22 13:24:49,596 | WARNING | log | log_response | 241 | Too Many Requests: /api/admin/stats/
